파나,98,195
타바,56,168
라하,98,162
파아,45,159
마라,58,185
나카,57,190
바나,84,166
가다,45,185
나자,42,187
사아,54,156
나사,76,172
가자,53,190
파라,86,175
파파,57,179
타카,99,192
타아,47,147
하바,87,171
파카,88,169
라타,66,186
가아,41,150
나나,77,155
가타,90,181
다타,89,196
다마,61,197
카자,90,158
사타,50,156
자가,42,163
타라,86,152
라하,50,150
하라,47,194
아사,45,184
다다,87,172
하하,86,174
가파,85,171
타마,42,185
자다,92,160
하가,41,193
자카,60,155
하파,45,168
다아,76,185
라나,66,159
바타,84,190
라사,45,198
사하,67,161
마마,83,169
하파,81,176
가마,58,149
바타,57,145
사사,66,183
타나,69,184
카파,69,151
자아,60,140
자다,58,140
타파,76,176
아타,85,152
다파,79,159
파라,70,190
파마,62,190
마다,76,191
나하,78,188
타나,56,177
바하,40,198
타사,62,179
다마,54,154
하아,59,199
가자,56,155
다타,63,147
바하,80,162
나타,42,174
나하,85,164
다파,76,159
가바,80,181
사마,58,195
하나,77,165
타타,56,189
사타,45,167
가아,55,161
타라,81,170
다아,69,186
다타,68,189
바카,82,140
다사,50,163
마자,75,171
나바,45,185
나나,79,177
파바,45,196
사파,64,162
파아,46,199
가다,75,156
사다,61,194
바가,42,157
하하,73,182
타라,99,159
바사,62,182
카다,44,172
다하,91,187
타카,92,149
다마,70,143
하다,51,159
마카,46,155
